prefix	content	marker	group	section	subsection	subsubsection	title	section_tag	image_url	context_mask	chunk_summary	group_summary	section_summary
	Equipment Condition Multi-Function Display Powered ON (WP 0014)	-1	507	3	15	0		22		1	Equipment Condition Multi-Function Display Powered ON (WP 0014)		
	CAUTION	-1	508	3	15	0		22		1	CAUTION		
•	Leaving communication, navigation, or lighting electronics in ON position while engines are not running can cause depletion of house battery bank. Failure to comply may cause equipment not to operate.	1	509	3	15	0		22		0	Leaving communication, navigation, or lighting electronics in ON position while engines are not running can cause depletion of house battery bank. Failure to comply may cause equipment not to operate.	Leaving communication, navigation, or lighting electronics in ON position while engines are not running can cause depletion of house battery bank. Failure to comply may cause equipment not to operate. Water drops on the screen can cause mis-operation and slow touch response. Ensure the screen is kept dry and free of debris. Multi-function display screen is made of glass. Do NOT use sharp objects, a stylus pen, or gloves to operate multi-function display. Failure to comply may result in damage to equipment.	
•	Water drops on the screen can cause mis-operation and slow touch response. Ensure the screen is kept dry and free of debris.	1	509	3	15	0		22		0	Water drops on the screen can cause mis-operation and slow touch response. Ensure the screen is kept dry and free of debris.		
•	Multi-function display screen is made of glass. Do NOT use sharp objects, a stylus pen, or gloves to operate multi-function display.	1	509	3	15	0		22		0	Multi-function display screen is made of glass. Do NOT use sharp objects, a stylus pen, or gloves to operate multi-function display.		
•	Failure to comply may result in damage to equipment.	1	509	3	15	0		22		0	Failure to comply may result in damage to equipment.		
2)	The multi-function display is equipped with a sonar function which displays a picture of the echoes found by the transducer and their distance to the boat (Figure 1). The pictures displayed contain a series of vertical lines. Each line is a picture of the objects under the boat. The series of pictures are put side-by-side across the screen to show the contours of the bottom and echoes from objects. Echoes are scrolled across the screen from right to left and are displayed in different colors or shades of gray according to the echo strength. Depth to the bottom is always shown. The sonar operates in the microwave part of the radio frequency range. The radar display (Figure is a general representation of what is displayed during operation. Graphics and functions of radar will vary depending on mode of operation.	-1	510	3	15	0		22		0	The display is equipped with a sonar function which displays echoes from objects and their distance to the boat. Pictures are displayed side-by, side across the screen to show contour of bottom and echoed objects based on	The display is equipped with a sonar function which displays echoes from objects and their distance to the boat. Pictures are displayed side-by, side across the screen to show contour of bottom and echoed objects based on	
	Figure 1. Sonar Operation.	-1	511	3	15	0		22	data/dod/rib_TM/images/img0143.jpg	1	Figure 1. Sonar Operation.		
	Figure 2. Sonar Display.	-1	511	3	15	0		22	data/dod/rib_TM/images/img0144.jpg	1	Figure 2. Sonar Display.		
	Table 1. Sonar Display.	-1	511	3	15	0		22		1	Table 1. Sonar Display.		
	Item No.	-1	512	3	15	0		22		1	Item No.		
	Key Name Function	-1	513	3	15	0		22		1	Key Name Function		
1	Temp Scale: Displays a range of degrees to determine the sea surface temperature using the Temp Graph.	2	514	3	15	0		22		0	Temp Scale: Displays a range of degrees to determine the sea surface temperature using the Temp Graph.	Temp Scale: Displays a range of degrees to determine the sea surface temperature using the Temp Graph. Temp Graph: Is a line running from left to right on the screen displaying the sea surface temperature. Depth Scale: Displays a range of depth in feet to determine the depth to an object or the sea bottom. Slide Bar: Adjusts the display range. Top of slider bar is zoomed in and bottom of slider bar is zoomed out. Bottom Echo: Normally shown in reddish-brown or red. The colors and width change with bottom material, depth, and sea condition.	
2	Temp Graph: Is a line running from left to right on the screen displaying the sea surface temperature.	2	514	3	15	0		22		0	Temp Graph: Is a line running from left to right on the screen displaying the sea surface temperature.		
3	Depth Scale: Displays a range of depth in feet to determine the depth to an object or the sea bottom.	2	514	3	15	0		22		0	Depth Scale: Displays a range of depth in feet to determine the depth to an object or the sea bottom.		
4	Slide Bar: Adjusts the display range. Top of slider bar is zoomed in and bottom of slider bar is zoomed out.	2	514	3	15	0		22		0	Slide Bar: Adjusts the display range. Top of slider bar is zoomed in and bottom of slider bar is zoomed out.		
5	Bottom Echo: Normally shown in reddish-brown or red. The colors and width change with bottom material, depth, and sea condition.	2	514	3	15	0		22		0	Bottom Echo: Normally shown in reddish-brown or red. The colors and width change with bottom material, depth, and sea condition.		
1.	If display is not on the “Home screen”, tap the “Home” icon (Figure 3, Item 1) at the top left corner of any operation screen to display the home screen then select the desired display icon. Figure 3. Home Icon.	2	515	3	15	0		22	data/dod/rib_TM/images/img0145.jpg	0	If display is not on the “Home screen”, tap the “Home” icon (Figure 3, Item 1) at the top left corner of any operation screen to display the home screen then select the desired display icon. Figure 3. Home Icon.	If display is not on the “Home screen”, tap the “Home” icon (Figure 3, Item 1) at the top left corner of any operation screen to display the home screen then select the desired display icon. Figure 3. Home Icon. From the “Home screen”, tap the “Sonar” display icon (Figure 4, Item 1).	
2.	From the “Home screen”, tap the “Sonar” display icon (Figure 4, Item 1).	2	515	3	15	0		22		0	From the “Home screen”, tap the “Sonar” display icon (Figure 4, Item 1).		
	Figure 4. Sonar Display Icon.	-1	516	3	15	0		22	data/dod/rib_TM/images/img0146.jpg	1	Figure 4. Sonar Display Icon.		
	Sonar Transmit/Standby Mode	-1	516	3	15	0		22		1	Sonar Transmit/Standby Mode		
1.	From the sonar display, tap the screen to open the “Pop-up” menu. Sonar Transmit/Standby Mode - Continued	2	517	3	15	0		22		0	From the sonar display, tap the screen to open the “Pop-up” menu. Sonar Transmit/Standby Mode - Continued	From the sonar display, tap the screen to open the “Pop-up” menu. Sonar Transmit/Standby Mode - Continued Scroll to the bottom of the menu to the “TX/STBY” (Figure 5, Item 1) option. NOTE Stand-by appears at the center of the screen when the sonar is in stand-by mode. Tap the flipswitch to turn the sonar ON or OFF (Figure 5, Item 2).	
2.	Scroll to the bottom of the menu to the “TX/STBY” (Figure 5, Item 1) option. NOTE Stand-by appears at the center of the screen when the sonar is in stand-by mode.	2	517	3	15	0		22		0	Scroll to the bottom of the menu to the “TX/STBY” (Figure 5, Item 1) option. NOTE Stand-by appears at the center of the screen when the sonar is in stand-by mode.		
3.	Tap the flipswitch to turn the sonar ON or OFF (Figure 5, Item 2).	2	517	3	15	0		22		0	Tap the flipswitch to turn the sonar ON or OFF (Figure 5, Item 2).		
	Figure 5. Transmit/Standby Mode.	-1	518	3	15	0		22	data/dod/rib_TM/images/img0147.jpg	1	Figure 5. Transmit/Standby Mode.		
	Selecting A Frequency Using The “Pop-Up” Menu	-1	518	3	15	0		22		1	Selecting A Frequency Using The “Pop-Up” Menu		
1.	From the sonar display, tap the screen to display the “Pop-up” menu. Selecting A Frequency Using The “Pop-Up” Menu - Continued	2	519	3	15	0		22		0	From the sonar display, tap the screen to display the “Pop-up” menu. Selecting A Frequency Using The “Pop-Up” Menu - Continued	From the sonar display, tap the screen to display the “Pop-up” menu. Selecting A Frequency Using The “Pop-Up” Menu - Continued Tap the “Frequency” option (Figure 6). Figure 6. Zooming Gestures. Tap the desired High Frequency “HF” (Figure 7, Item 1) or Low Frequency “LF” (Figure 7, Item 2) frequency flipswitch to turn them ON or OFF. Figure 7. Frequency Flipswitch. Tap on the screen outside of the window to close.	
2.	Tap the “Frequency” option (Figure 6). Figure 6. Zooming Gestures.	2	519	3	15	0		22	data/dod/rib_TM/images/img0148.jpg	0	Tap the “Frequency” option (Figure 6). Figure 6. Zooming Gestures.		
3.	Tap the desired High Frequency “HF” (Figure 7, Item 1) or Low Frequency “LF” (Figure 7, Item 2) frequency flipswitch to turn them ON or OFF. Figure 7. Frequency Flipswitch.	2	519	3	15	0		22	data/dod/rib_TM/images/img0149.jpg	0	Tap the desired High Frequency “HF” (Figure 7, Item 1) or Low Frequency “LF” (Figure 7, Item 2) frequency flipswitch to turn them ON or OFF. Figure 7. Frequency Flipswitch.		
4.	Tap on the screen outside of the window to close.	2	519	3	15	0		22		0	Tap on the screen outside of the window to close.		
	Selecting A Frequency Using The “Depth Indication Box”	-1	520	3	15	0		22		1	Selecting A Frequency Using The “Depth Indication Box”		
	From the sonar display, tap the “Depth Indication Box” in the lower left corner of the screen to switch between high frequency and low frequency (Figure 8).	-1	521	3	15	0		22		0	From the sonar display, tap the “Depth Indication Box” in the lower left corner of the screen to switch between high frequency and low frequency (Figure 8).	From the sonar display, tap the “Depth Indication Box” in the lower left corner of the screen to switch between high frequency and low frequency (Figure 8).	
	Figure 8. Depth Indication Box.	-1	522	3	15	0		22	data/dod/rib_TM/images/img0150.jpg	1	Figure 8. Depth Indication Box.		
	Single Frequency Display	-1	522	3	15	0		22		1	Single Frequency Display		
	Single frequency display shows either a high or low frequency on the screen depending on frequency selected. A low frequency gives a wide detection area and is used primarily for a general search and bottom condition detection. A high frequency gives better resolution and is used to better identify an object.	-1	523	3	15	0		22		0	Single frequency display shows either a high or low frequency on the screen depending upon frequency selected. A low frequency gives wide detection area and is used for general search and bottom condition identification. An higher frequency provides better resolution and is used to identify objects	Single frequency display shows either a high or low frequency on the screen depending upon frequency selected. A low frequency gives wide detection area and is used for general search and bottom condition identification. An higher frequency provides better resolution and is used to identify objects	
1.	From the sonar display, tap the screen to open the “Pop-up” menu.	2	524	3	15	0		22		0	From the sonar display, tap the screen to open the “Pop-up” menu.	From the sonar display, tap the screen to open the “Pop-up” menu. Tap the “Mode” option (Figure 9). Figure 9. Sonar Mode Option. Tap the “Single Frequency” flipswitch to turn the single frequency display ON or OFF. Tap on the screen outside of the window to close.	
2.	Tap the “Mode” option (Figure 9). Figure 9. Sonar Mode Option.	2	524	3	15	0		22	data/dod/rib_TM/images/img0151.jpg	0	Tap the “Mode” option (Figure 9). Figure 9. Sonar Mode Option.		
3.	Tap the “Single Frequency” flipswitch to turn the single frequency display ON or OFF.	2	524	3	15	0		22		0	Tap the “Single Frequency” flipswitch to turn the single frequency display ON or OFF.		
4.	Tap on the screen outside of the window to close.	2	524	3	15	0		22		0	Tap on the screen outside of the window to close.		
	Dual Frequency Display	-1	525	3	15	0		22		1	Dual Frequency Display		
	Dual frequency display (Figure 10) shows both low and high frequency pictures on the same screen, with the low frequency on the left and high frequency on the right.	-1	526	3	15	0		22		0	Dual frequency display (Figure 10) shows both low and high frequency pictures on the same screen, with the low frequency on the left and high frequency on the right.	Dual frequency display (Figure 10) shows both low and high frequency pictures on the same screen, with the low frequency on the left and high frequency on the right.	
	Figure 10. Dual Frequency Display.	-1	527	3	15	0		22	data/dod/rib_TM/images/img0152.jpg	1	Figure 10. Dual Frequency Display.		
1.	From the sonar display, tap the screen to open the “Pop-up” menu.	2	528	3	15	0		22		0	From the sonar display, tap the screen to open the “Pop-up” menu.	From the sonar display, tap the screen to open the “Pop-up” menu. Tap the “Mode” option (Figure 11). Figure 11. Sonar Mode Option. Tap the “Dual Freq.” flipswitch to turn the dual frequency display ON or OFF. Tap on the screen outside of the window to close.	
2.	Tap the “Mode” option (Figure 11). Figure 11. Sonar Mode Option.	2	528	3	15	0		22	data/dod/rib_TM/images/img0153.jpg	0	Tap the “Mode” option (Figure 11). Figure 11. Sonar Mode Option.		
3.	Tap the “Dual Freq.” flipswitch to turn the dual frequency display ON or OFF.	2	528	3	15	0		22		0	Tap the “Dual Freq.” flipswitch to turn the dual frequency display ON or OFF.		
4.	Tap on the screen outside of the window to close.	2	528	3	15	0		22		0	Tap on the screen outside of the window to close.		
	Bottom Zoom Display	-1	529	3	15	0		22		1	Bottom Zoom Display		
	When the bottom zoom function is selected, the bottom zoom display will display on the left side of the screen and the single frequency display will display on the right side of the screen. The bottom zoom display can assist in determining the density of the sea bottom.	-1	530	3	15	0		22		0	When the bottom zoom function is selected, the bottom zoom display will display on the left side of the screen and the single frequency display will display on the right side of the screen. The bottom zoom display can assist in determining the density of the sea bottom.	When the bottom zoom function is selected, the bottom zoom display will display on the left side of the screen and the single frequency display will display on the right side of the screen. The bottom zoom display can assist in determining the density of the sea bottom.	
	Figure 12. Bottom Zoom Display.	-1	531	3	15	0		22	data/dod/rib_TM/images/img0154.jpg	1	Figure 12. Bottom Zoom Display.		
	Table 2. Bottom Zoom Display.	-1	531	3	15	0		22		1	Table 2. Bottom Zoom Display.		
	Item No Name Function	-1	531	3	15	0		22		1	Item No Name Function		
1	Bottom Zoom Display Expands the sea bottom and any object near the bottom according to the zoom range selected.	2	532	3	15	0		22		0	Bottom Zoom Display Expands the sea bottom and any object near the bottom according to the zoom range selected.	Bottom Zoom Display Expands the sea bottom and any object near the bottom according to the zoom range selected. Single Frequency Display Displays the single frequency view. Zoom Marker Indicates the portion displayed on the bottom zoom display window. The zoom marker automatically follows change in depth. Bottom Depth bottom. Echo Tail A short echo tail normally indicates a soft bottom and a long echo tail normally indicates a hard bottom.	
2	Single Frequency Display Displays the single frequency view.	2	532	3	15	0		22		0	Single Frequency Display Displays the single frequency view.		
3	Zoom Marker Indicates the portion displayed on the bottom zoom display window. The zoom marker automatically follows change in depth.	2	532	3	15	0		22		0	Zoom Marker Indicates the portion displayed on the bottom zoom display window. The zoom marker automatically follows change in depth.		
4	Bottom Depth bottom.	2	532	3	15	0		22		0	Bottom Depth bottom.		
5	Echo Tail A short echo tail normally indicates a soft bottom and a long echo tail normally indicates a hard bottom.	2	532	3	15	0		22		0	Echo Tail A short echo tail normally indicates a soft bottom and a long echo tail normally indicates a hard bottom.		
	Bottom Zoom Display - Continued	-1	533	3	15	0		22		1	Bottom Zoom Display - Continued		
1.	From the sonar display, tap the screen to open the “Pop-up” menu.	2	534	3	15	0		22		0	From the sonar display, tap the screen to open the “Pop-up” menu.	From the sonar display, tap the screen to open the “Pop-up” menu. Tap the “Mode” option (Figure 13). Figure 13. Sonar Mode Option. Tap the “Bottom Zoom” flipswitch to turn the bottom zoom display ON or OFF. Tap on the screen outside of the window to close.	
2.	Tap the “Mode” option (Figure 13). Figure 13. Sonar Mode Option.	2	534	3	15	0		22	data/dod/rib_TM/images/img0155.jpg	0	Tap the “Mode” option (Figure 13). Figure 13. Sonar Mode Option.		
3.	Tap the “Bottom Zoom” flipswitch to turn the bottom zoom display ON or OFF.	2	534	3	15	0		22		0	Tap the “Bottom Zoom” flipswitch to turn the bottom zoom display ON or OFF.		
4.	Tap on the screen outside of the window to close.	2	534	3	15	0		22		0	Tap on the screen outside of the window to close.		
	0018-10	-1	535	3	15	0		22		1	0018-10	The bottom lock display can assist in separating objects near the sea bottom from the sea bottom itself.	
	Bottom Lock Display	-1	535	3	15	0		22		1	Bottom Lock Display		
	The bottom lock display can assist in separating objects near the sea bottom from the sea bottom itself.	-1	535	3	15	0		22		0	The bottom lock display can assist in separating objects near the sea bottom from the sea bottom itself.		
	Figure 14. Bottom Lock Display.	-1	535	3	15	0		22	data/dod/rib_TM/images/img0156.jpg	1	Figure 14. Bottom Lock Display.		
	Table 3. Bottom Lock Display.	-1	535	3	15	0		22		1	Table 3. Bottom Lock Display.		
	Item No Name Function	-1	535	3	15	0		22		1	Item No Name Function		
1	Bottom Lock Display A an expanded display of 7-400 ft (2.13-122 m) wide layer displayed on the left side.	2	536	3	15	0		22		0	Bottom Lock Display A an expanded display of 7-400 ft (2.13-122 m) wide layer displayed on the left side.	Bottom Lock Display A an expanded display of 7-400 ft (2.13-122 m) wide layer displayed on the left side. Single Frequency Display Displays a normal picture on the right side of the screen in single frequency display. Object Near Bottom Item to be zoomed in on. Zoom Marker Marker displaying the zoom area on single frequency display. Bottom Shown as a straight line on the bottom lock display. Zoomed Display of Object	
2	Single Frequency Display Displays a normal picture on the right side of the screen in single frequency display.	2	536	3	15	0		22		0	Single Frequency Display Displays a normal picture on the right side of the screen in single frequency display.		
3	Object Near Bottom Item to be zoomed in on.	2	536	3	15	0		22		0	Object Near Bottom Item to be zoomed in on.		
4	Zoom Marker Marker displaying the zoom area on single frequency display.	2	536	3	15	0		22		0	Zoom Marker Marker displaying the zoom area on single frequency display.		
5	Bottom Shown as a straight line on the bottom lock display.	2	536	3	15	0		22		0	Bottom Shown as a straight line on the bottom lock display.		
6	Zoomed Display of Object	2	536	3	15	0		22		0	Zoomed Display of Object		
	Displays the object from zoom marker in higher detail on bottom lock display.	-1	537	3	15	0		22		0	Displays the object from zoom marker in higher detail on bottom lock display.	Displays the object from zoom marker in higher detail on bottom lock display.	
	0018-11	-1	537	3	15	0		22		1	0018-11		
	Bottom Lock Display - Continued	-1	537	3	15	0		22		1	Bottom Lock Display - Continued		
1.	From the sonar display, tap the screen to open the “Pop-up” menu.	2	538	3	15	0		22		0	From the sonar display, tap the screen to open the “Pop-up” menu.	From the sonar display, tap the screen to open the “Pop-up” menu. Tap the “Mode” option (Figure 15). Figure 15. Sonar Mode Option. Tap the “Bottom Lock” flipswitch to turn the bottom lock display ON or OFF. Tap on the screen outside of the window to close.	
2.	Tap the “Mode” option (Figure 15). Figure 15. Sonar Mode Option.	2	538	3	15	0		22	data/dod/rib_TM/images/img0157.jpg	0	Tap the “Mode” option (Figure 15). Figure 15. Sonar Mode Option.		
3.	Tap the “Bottom Lock” flipswitch to turn the bottom lock display ON or OFF.	2	538	3	15	0		22		0	Tap the “Bottom Lock” flipswitch to turn the bottom lock display ON or OFF.		
4.	Tap on the screen outside of the window to close.	2	538	3	15	0		22		0	Tap on the screen outside of the window to close.		
	0018-12	-1	539	3	15	0		22		1	0018-12		
	Bottom Discrimination Display	-1	539	3	15	0		22		1	Bottom Discrimination Display		
	Bottom discrimination display shows probable sea bottom composition. This feature should only be used when operating at or below 10 kt (11.5 mph) and depths between 16-328 ft (5-100 m).	-1	540	3	15	0		22		0	Bottom discrimination display shows probable sea bottom composition. This feature should only be used when operating at or below 10 kt (11.5 mph) and depths between 16-328 ft (5-100 m).	Bottom discrimination display shows probable sea bottom composition. This feature should only be used when operating at or below 10 kt (11.5 mph) and depths between 16-328 ft (5-100 m).	
	Figure 16. Bottom Discrimination Display.	-1	541	3	15	0		22	data/dod/rib_TM/images/img0158.jpg	1	Figure 16. Bottom Discrimination Display.		
1.	From the sonar display, tap the screen to open the “Pop-up” menu.	2	542	3	15	0		22		0	From the sonar display, tap the screen to open the “Pop-up” menu.	From the sonar display, tap the screen to open the “Pop-up” menu. Scroll down and tap the “Bottom” flipswitch to turn the bottom discrimination display ON or OFF. Tap on the screen outside of the window to close.	
2.	Scroll down and tap the “Bottom” flipswitch to turn the bottom discrimination display ON or OFF.	2	542	3	15	0		22		0	Scroll down and tap the “Bottom” flipswitch to turn the bottom discrimination display ON or OFF.		
3.	Tap on the screen outside of the window to close.	2	542	3	15	0		22		0	Tap on the screen outside of the window to close.		
	END OF WORK PACKAGE	-1	543	3	15	0		22		1	END OF WORK PACKAGE		
	0018-13/blank	-1	543	3	15	0		22		1	0018-13/blank		
	OPERATOR INSTRUCTIONS	-1	544	3	15	0		22		1	OPERATOR INSTRUCTIONS		
	OPERATING UNDER USUAL CONDITIONS COMMAND MICROPHONE REMOTE VHF	-1	545	3	16	0	OPERATING UNDER USUAL CONDITIONS COMMAND MICROPHONE REMOTE VHF	23		0	OPERATING UNDER USUAL CONDITIONS COMMAND MICROPHONE REMOTE VHF		Each push of the power/squelch/volume dial toggled a mode for the radio. It also switches between volume adjustment and channel selection if no key operation is performed - for approximately 5 seconds. When the “Push to Talk” button (Figure 3, Item 1) was held, message transmit time is five minutes ; after five minutes the radio will automatically go into receive mode... Transmission can not be sent while radio is in weather (WX) mode! Figure 3. Command Microphone Transmission/Reception: S
	INITIAL SETUP:	-1	546	3	16	0		23		1	INITIAL SETUP:		
	Personnel Required Diver 12D	-1	547	3	16	0		23		1	Personnel Required Diver 12D	Equipment Condition House battery switch powered ON, VHF antenna raised (WP 0005)	
	Equipment Condition House battery switch powered ON, VHF antenna raised (WP 0005)	-1	547	3	16	0		23		0	Equipment Condition House battery switch powered ON, VHF antenna raised (WP 0005)		
	Powering ON the Command Microphone Remote VHF	-1	548	3	16	0		23		0	Powering ON the Command Microphone Remote VHF	Powering ON the Command Microphone Remote VHF	
	NOTE	-1	548	3	16	0		23		1	NOTE		
	Each push of the power/squelch/volume dial toggles the mode between volume adjustment, squelch adjustment, and channel selection.	-1	549	3	16	0		23		0	Each push of the power/squelch/volume dial toggles the mode between volume adjustment, squelch adjustment, and channel selection.	Each push of the power/squelch/volume dial toggles the mode between volume adjustment, squelch adjustment, and channel selection.	
1.	Press and hold the “PWR” knob (Figure 1, Item 1) until the radio turns on.	2	550	3	16	0		23		0	Press and hold the “PWR” knob (Figure 1, Item 1) until the radio turns on.	Press and hold the “PWR” knob (Figure 1, Item 1) until the radio turns on. Push the “UP” or “DOWN” channel keys (Figure 1, Item 2) to select the desired channel.	
2.	Push the “UP” or “DOWN” channel keys (Figure 1, Item 2) to select the desired channel.	2	550	3	16	0		23		0	Push the “UP” or “DOWN” channel keys (Figure 1, Item 2) to select the desired channel.		
	Figure 1. Command Microphone Remote.	-1	551	3	16	0		23	data/dod/rib_TM/images/img0159.jpg	1	Figure 1. Command Microphone Remote.	Adjusting the Volume on the Command Microphone	
	Adjusting the Volume on the Command Microphone	-1	551	3	16	0		23		0	Adjusting the Volume on the Command Microphone		
	NOTE	-1	551	3	16	0		23		1	NOTE		
	If no key operation is performed for approximately 5 seconds the command microphone sets the selected level and returns to normal mode.	-1	552	3	16	0		23		0	If no key operation is performed for approximately 5 seconds the command microphone sets the selected level and returns to normal mode.	If no key operation is performed for approximately 5 seconds the command microphone sets the selected level and returns to normal mode.	
1.	Push the “VOL” dial (Figure 2, Item 2) to select the volume adjustment mode and open the “Volume” window.	2	553	3	16	0		23		0	Push the “VOL” dial (Figure 2, Item 2) to select the volume adjustment mode and open the “Volume” window.	Push the “VOL” dial (Figure 2, Item 2) to select the volume adjustment mode and open the “Volume” window. Rotate the “VOL” dial (Figure 2, Item 2) until noise or audio from the speaker is at desired level. Push the “ENT” key (Figure 2, Item 1) to set the volume level.	
2.	Rotate the “VOL” dial (Figure 2, Item 2) until noise or audio from the speaker is at desired level.	2	553	3	16	0		23		0	Rotate the “VOL” dial (Figure 2, Item 2) until noise or audio from the speaker is at desired level.		
3.	Push the “ENT” key (Figure 2, Item 1) to set the volume level.	2	553	3	16	0		23		0	Push the “ENT” key (Figure 2, Item 1) to set the volume level.		
	Figure 2. Command Microphone Volume Adjustment.	-1	554	3	16	0		23	data/dod/rib_TM/images/img0160.jpg	1	Figure 2. Command Microphone Volume Adjustment.		
	Command Microphone Remote Transmission/Reception	-1	554	3	16	0		23		1	Command Microphone Remote Transmission/Reception		
	NOTE	-1	554	3	16	0		23		1	NOTE		
•	When the “Push-To-Talk” button is held, message transmit time is five minutes. After five minutes the radio will automatically go into receive mode. To transmit again the “Push-To-Talk” button must first be released then pressed again.	1	555	3	16	0		23		0	When the “Push-To-Talk” button is held, message transmit time is five minutes. After five minutes the radio will automatically go into receive mode. To transmit again the “Push-To-Talk” button must first be released then pressed again.	When the “Push-To-Talk” button is held, message transmit time is five minutes. After five minutes the radio will automatically go into receive mode. To transmit again the “Push-To-Talk” button must first be released then pressed again. Transmissions can not be sent when radio is in weather (WX) mode.	
•	Transmissions can not be sent when radio is in weather (WX) mode.	1	555	3	16	0		23		0	Transmissions can not be sent when radio is in weather (WX) mode.		
1.	If Command Microphone is in “WX” mode press “CH/WX” softkey (Figure 3, Item 2) to return to previously selected channelFigure 3, Item 1.	2	556	3	16	0		23		0	If Command Microphone is in “WX” mode press “CH/WX” softkey (Figure 3, Item 2) to return to previously selected channelFigure 3, Item 1.	If Command Microphone is in “WX” mode press “CH/WX” softkey (Figure 3, Item 2) to return to previously selected channelFigure 3, Item 1. Press the “Push-To-Talk” button (Figure 3, Item 1) on the microphone. The “TX” indicator will appear on the screen. Figure 3. Command Microphone Transmission/Reception. Speak slowly and clearly into the microphone. When the transmission is finished, release the “Push-To-Talk” button. When a message is received, the “BUSY” indicator will appear on the screen while the message is being received.	
2.	Press the “Push-To-Talk” button (Figure 3, Item 1) on the microphone. The “TX” indicator will appear on the screen. Figure 3. Command Microphone Transmission/Reception.	2	556	3	16	0		23	data/dod/rib_TM/images/img0161.jpg	0	Press the “Push-To-Talk” button (Figure 3, Item 1) on the microphone. The “TX” indicator will appear on the screen. Figure 3. Command Microphone Transmission/Reception.		
3.	Speak slowly and clearly into the microphone.	2	556	3	16	0		23		0	Speak slowly and clearly into the microphone.		
4.	When the transmission is finished, release the “Push-To-Talk” button.	2	556	3	16	0		23		0	When the transmission is finished, release the “Push-To-Talk” button.		
5.	When a message is received, the “BUSY” indicator will appear on the screen while the message is being received.	2	556	3	16	0		23		0	When a message is received, the “BUSY” indicator will appear on the screen while the message is being received.		
	Command Microphone Softkeys	-1	557	3	16	0		23		1	Command Microphone Softkeys		
	Various functions can be assigned to the softkeys. When a key function is assigned, the key icon is displayed above the softkey.	-1	558	3	16	0		23		0	Various functions can be assigned to the softkeys. When a key function is assigned, the key icon is displayed above the softkey.	Various functions can be assigned to the softkeys. When a key function is assigned, the key icon is displayed above the softkey.	
	Softkey Function Selection	-1	559	3	16	0		23		1	Softkey Function Selection		
1.	Push the “LEFT” (Figure 4, Item 1) or “RIGHT” keys (Figure 4, Item 3) to scroll to the desired function.	2	560	3	16	0		23		0	Push the “LEFT” (Figure 4, Item 1) or “RIGHT” keys (Figure 4, Item 3) to scroll to the desired function.	Push the “LEFT” (Figure 4, Item 1) or “RIGHT” keys (Figure 4, Item 3) to scroll to the desired function. Push the softkey (Figure 4, Item 2) below the desired function to select.	
2.	Push the softkey (Figure 4, Item 2) below the desired function to select.	2	560	3	16	0		23		0	Push the softkey (Figure 4, Item 2) below the desired function to select.		
	Figure 4. Softkey Function Selection.	-1	561	3	16	0		23	data/dod/rib_TM/images/img0162.jpg	1	Figure 4. Softkey Function Selection.		
	Softkey Programming	-1	561	3	16	0		23		1	Softkey Programming		
1.	Push the “MENU” key (Figure 5, Item 1) to open the menu screen.	2	562	3	16	0		23		0	Push the “MENU” key (Figure 5, Item 1) to open the menu screen.	"Push the “MENU” key (Figure 5 Item 1) to open menu screen. Click on softkey (Figure 5, item 2) until it appears on screen - then press ""CONFIG"" button if desired – to return home screen a second time. Repeat steps 6-10 for remaining softkeys to be programmed. Push the ‘ENT’ key to return home screen. Back to top of page. In the next step, click on"	
2.	Rotate dial (Figure 5, Item 2) until “CONFIG” icon appears on screen.	2	562	3	16	0		23		0	Rotate dial (Figure 5, Item 2) until “CONFIG” icon appears on screen.		
3.	Push the softkey (Figure 5, Item 3) below the “CONFIG” icon to select.	2	562	3	16	0		23		0	Push the softkey (Figure 5, Item 3) below the “CONFIG” icon to select.		
4.	Rotate dial to highlight the key assignment menu.	2	562	3	16	0		23		0	Rotate dial to highlight the key assignment menu.		
5.	Push the “ENT” key (Figure 5, Item 4).	2	562	3	16	0		23		0	Push the “ENT” key (Figure 5, Item 4).		
6.	Rotate dial to highlight softkey menu.	2	562	3	16	0		23		0	Rotate dial to highlight softkey menu.		
7.	Push the “ENT” key.	2	562	3	16	0		23		0	Push the “ENT” key.		
8.	Rotate dial to highlight the desired softkey to be programmed.	2	562	3	16	0		23		0	Rotate dial to highlight the desired softkey to be programmed.		
9.	Push the “ENT” key.	2	562	3	16	0		23		0	Push the “ENT” key.		
10.	Rotate dial to highlight the desired softkey to be programmed.	2	562	3	16	0		23		0	Rotate dial to highlight the desired softkey to be programmed.		
11.	Rotate dial to highlight desired softkey function.	2	562	3	16	0		23		0	Rotate dial to highlight desired softkey function.		
12.	Push “ENT” key.	2	562	3	16	0		23		0	Push “ENT” key.		
13.	Push “BACK” key.	2	562	3	16	0		23		0	Push “BACK” key.		
14.	Repeat steps 6-10 for remaining softkeys to be programmed.	2	562	3	16	0		23		0	Repeat steps 6-10 for remaining softkeys to be programmed.		
15.	Push the “MENU” key to return home screen.	2	562	3	16	0		23		0	Push the “MENU” key to return home screen.		
	Figure 5. Softkey Programming Selection.	-1	563	3	16	0		23	data/dod/rib_TM/images/img0163.jpg	1	Figure 5. Softkey Programming Selection.	National Oceanic and Atmospheric Administration (NOAA) Weather Channel Selection	
